,age,median_income,mean_income,2004LB,2005LB,2006LB,2007LB,2008LB,2009LB,2010LB,2011LB,2012LB,2013LB,2014LB,age_group
0,18,5000.0,8419.92,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
1,19,10000.0,13484.63,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
2,20,14438.0,17456.99,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
3,21,18000.0,21927.8,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
4,22,18501.0,23680.1,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
5,23,23000.0,28823.74,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
6,24,27000.0,32411.95,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
7,25,31026.0,38777.43,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
8,26,34000.0,43940.47,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
9,27,33003.0,41844.25,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
10,28,36000.0,43839.07,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
11,29,40000.0,49648.75,146.0,161.0,194.0,217.0,248.0,273.0,299.0,312.0,320.0,356.0,369.0,18.0
12,30,40000.0,48241.83,114.0,129.0,154.0,171.0,202.0,229.0,257.0,281.0,320.0,354.0,383.0,30.0
13,31,42000.0,52198.99,114.0,129.0,154.0,171.0,202.0,229.0,257.0,281.0,320.0,354.0,383.0,30.0
14,32,42000.0,55369.57,114.0,129.0,154.0,171.0,202.0,229.0,257.0,281.0,320.0,354.0,383.0,30.0
